timestamp_ros,timestamp_sys (%Y%m%d%H%M%S.%f),latitude,longitude,depth,distance_to_ocean_floor,velX,velY,velZ,roll,pitch,yaw,navMode,acousticAltimeter,forwardStereo,battery_volts,altitudeUsed,cotsNumFound,cotsNumMaybe,missionState,errorState,storeData,storeImageData
1767631101.3283525,20260105123821.328298,18.189070250547495,-64.95873314756086,0.2884516514907529,0.35966465025191185,-0.00978664730477851,0.0564731930612381,-0.02852450417235338,-1.428418569165095,-36.486070799803706,123.0473924937038,5,47.89,2.377547025680542,16.76,47.89,0,0,1,0,1,0
1767631101.4266703,20260105123821.426616,18.18907030783662,-64.9587331580111,0.28496341611618803,0.35966465025191185,-0.00978664730477851,0.0564731930612381,-0.014222172702856849,-1.428418569165095,-36.486070799803706,123.0473924937038,5,47.89,1.8537312746047974,16.76,47.89,0,0,1,0,1,0
1767631101.5416183,20260105123821.541564,18.189070366404138,-64.95873316599545,0.28496341611618803,0.35966465025191185,-0.007361671099561949,0.056840177679365805,-0.014222172702856849,-1.4072195753920844,-34.60339678380489,125.49934932019993,5,47.89,2.5957999229431152,16.76,47.89,0,0,1,0,1,0
1767631101.6494489,20260105123821.649394,18.18907042327925,-64.95873317377014,0.29796341611618793,0.35966465025191185,-0.0073813342542857485,0.056837627542205775,0.034706310848243264,-1.5820671445783265,-28.976230725896365,125.47952810414122,5,47.89,2.5957999229431152,16.67,47.89,0,0,1,0,1,0
1767631101.764279,20260105123821.764224,18.18907048130182,-64.95873318170169,0.2300132540159123,0.35966465025191185,-0.0073813342542857485,0.056837627542205775,-0.037412039896318215,-1.5820671445783265,-28.976230725896365,125.47952810414122,5,47.89,2.7062275409698486,16.67,47.89,0,0,1,0,1,0
1767631101.876498,20260105123821.876444,18.189070607613015,-64.95873311974076,0.2300132540159123,0.35966465025191185,0.05819478063448237,0.12487340592337698,-0.037412039896318215,-2.5284421659439777,-24.687918827819818,124.1758221103458,5,50.97,2.7062275409698486,16.67,50.97,0,0,1,0,1,0
1767631101.9958932,20260105123821.995839,18.18907073925394,-64.95873306058118,0.2043014968881017,0.35966465025191185,0.054095318245171956,0.12670318284855187,-0.10691117241907741,-3.601580527710918,-20.847802395790808,122.30870727083965,5,50.97,3.7735302448272705,16.67,50.97,0,0,1,0,1,0
1767631102.0830262,20260105123822.082972,18.18907084605021,-64.95873301738591,0.2043014968881017,0.35966465025191185,0.04941529342873806,0.128600656201093,-0.10691117241907741,-4.394251158191266,-18.124832103860367,120.20834138777538,5,50.97,3.7735302448272705,16.67,50.97,0,0,1,0,1,0
1767631102.0996833,20260105123822.099629,18.189070867153255,-64.95873300972924,0.16286291936466538,0.35966465025191185,0.04489541060732845,0.13024746487513444,-0.12536080585132628,-4.743535631293062,-16.714359969878195,118.20760067956732,5,50.97,3.7735302448272705,16.67,50.97,0,0,1,0,1,0
1767631102.2010608,20260105123822.201006,18.189070984270124,-64.95873296723657,0.16286291936466538,0.35966465025191185,0.04489541060732845,0.13024746487513444,-0.12536080585132628,-4.743535631293062,-16.714359969878195,118.20760067956732,5,50.97,3.7735302448272705,16.67,50.97,0,0,1,0,1,0
1767631102.3105698,20260105123822.310515,18.18907111098166,-64.95873292573233,0.16286291936466538,0.35966465025191185,0.04093472392334224,0.1315459933913601,-0.12536080585132628,-4.693308963498474,-16.482083936172714,116.47407072761341,5,50.97,3.7735302448272705,16.62,50.97,0,0,1,0,1,0
1767631102.423449,20260105123822.423395,18.18907124510654,-64.95873288579006,0.15767428831216299,0.35966465025191185,0.0375049943764585,0.1325646083870873,-0.12780021970310135,-4.067981015726927,-16.888227620011566,114.98607250373645,5,50.97,4.347283840179443,16.62,50.97,0,0,1,0,1,0
