Mon Mar 3 12:14:52 2025,2,18.33837928,-64.98314105,21.0225,-42.0106,0
Mon Mar 3 12:14:53 2025,2,18.33849978,-64.98299513,36.6169,-29.1531,0
Mon Mar 3 12:14:54 2025,2,18.33841629,-64.98311037,24.6165,-38.6332,0
Mon Mar 3 12:14:54 2025,2,18.33842336,-64.98308655,27.485,-37.8454,0
Mon Mar 3 12:14:55 2025,2,18.33848371,-64.98301627,34.9117,-31.128,0
Mon Mar 3 12:14:56 2025,2,18.33840817,-64.98310500,25.5359,-39.5363,0
Mon Mar 3 12:14:57 2025,2,18.33841269,-64.98309139,27.1497,-39.2185,22
Mon Mar 3 12:15:00 2025,2,18.33842075,-64.98312256,24.2083,-38.6927,0
Mon Mar 3 12:15:02 2025,2,18.33846146,-64.98306015,31.5078,-34.7174,0
Mon Mar 3 12:15:03 2025,2,18.33848761,-64.98302617,35.0981,-31.9924,0
Mon Mar 3 12:15:08 2025,2,18.33842978,-64.98311052,26.3617,-38.4301,0
Mon Mar 3 12:15:09 2025,2,18.33841613,-64.98313104,24.1933,-40.691,0
Mon Mar 3 12:15:10 2025,2,18.33852396,-64.98300194,37.8348,-28.8728,0
Mon Mar 3 12:15:11 2025,2,18.33848897,-64.98303506,34.3346,-32.9543,22
Mon Mar 3 12:15:12 2025,2,18.33845601,-64.98308237,29.1599,-36.9936,0
Mon Mar 3 12:15:13 2025,2,18.33849236,-64.98303589,33.8946,-33.1331,0
Mon Mar 3 12:15:13 2025,2,18.33850787,-64.98302265,35.1181,-31.5925,0
Mon Mar 3 12:15:17 2025,2,18.33846047,-64.98308523,28.5055,-36.8684,0
Mon Mar 3 12:15:25 2025,2,18.33869906,-64.98293107,45.4991,-11.6082,0
Mon Mar 3 12:15:27 2025,2,18.33847431,-64.98311123,26.9906,-37.5547,0
Mon Mar 3 12:15:28 2025,2,18.33861467,-64.98298409,40.6015,-22.1146,0
Mon Mar 3 12:15:29 2025,2,18.33853946,-64.98304483,34.3593,-30.6727,0
Mon Mar 3 12:15:30 2025,2,18.33862399,-64.98297202,42.2285,-21.4482,0
Mon Mar 3 12:15:35 2025,2,18.33849937,-64.98309290,29.9841,-35.8776,0
Mon Mar 3 12:15:37 2025,2,18.33858929,-64.98301699,38.7095,-26.7958,0
Mon Mar 3 12:15:39 2025,2,18.33848642,-64.98310939,28.9467,-38.2472,0
Mon Mar 3 12:15:40 2025,2,18.33861415,-64.98299731,41.1414,-24.9557,0
Mon Mar 3 12:15:41 2025,2,18.33866575,-64.98300403,40.6077,-19.5834,0
Mon Mar 3 12:15:43 2025,2,18.33859031,-64.98302839,38.2094,-28.1669,0
Mon Mar 3 12:15:44 2025,2,18.33855079,-64.98306682,34.3255,-32.9372,0
Mon Mar 3 12:15:45 2025,2,18.33859807,-64.98301518,39.7819,-27.8589,22
Mon Mar 3 12:15:46 2025,2,18.33860640,-64.98306185,34.8504,-26.932,0
Mon Mar 3 12:15:47 2025,2,18.33845805,-64.98321262,19.4474,-43.632,0
Mon Mar 3 12:15:48 2025,2,18.33858884,-64.98303011,38.7324,-29.2581,0
Mon Mar 3 12:15:48 2025,2,18.33867521,-64.98299974,42.2938,-19.8286,0
Mon Mar 3 12:15:49 2025,2,18.33859290,-64.98306113,35.8068,-28.9914,0
Mon Mar 3 12:15:50 2025,2,18.33854284,-64.98307749,34.0786,-34.5639,0
Mon Mar 3 12:15:51 2025,2,18.33864529,-64.98300952,41.7883,-23.345,0
Mon Mar 3 12:15:54 2025,2,18.33852305,-64.98310657,31.71,-37.1376,0
Mon Mar 3 12:15:56 2025,2,18.33871942,-64.98299542,44.3351,-15.8345,0
Mon Mar 3 12:16:00 2025,2,18.33860866,-64.98304806,39.1249,-28.3506,0
Mon Mar 3 12:16:02 2025,2,18.33857133,-64.98309351,35.0271,-33.2475,0
Mon Mar 3 12:16:03 2025,2,18.33856730,-64.98308085,36.5412,-33.6962,0
Mon Mar 3 12:16:04 2025,2,18.33871360,-64.98300642,44.7582,-17.5962,0
Mon Mar 3 12:16:07 2025,2,18.33862840,-64.98305169,39.9746,-27.4513,0
Mon Mar 3 12:16:07 2025,2,18.33854148,-64.98312377,32.886,-37.6836,0
Mon Mar 3 12:16:13 2025,2,18.33861253,-64.98305190,40.8326,-30.5172,19
Mon Mar 3 12:16:13 2025,2,18.33856905,-64.98308556,37.452,-35.5425,0
Mon Mar 3 12:16:14 2025,2,18.33876743,-64.98296123,50.5895,-13.459,0
Mon Mar 3 12:16:15 2025,2,18.33861904,-64.98304286,41.9645,-29.9772,0
Mon Mar 3 12:16:16 2025,2,18.33859525,-64.98306798,39.6625,-32.9974,0
Mon Mar 3 12:16:19 2025,2,18.33862248,-64.98304162,42.7996,-30.522,15
Mon Mar 3 12:16:21 2025,2,18.33861056,-64.98305846,41.3726,-32.2206,0
Mon Mar 3 12:16:23 2025,2,18.33862608,-64.98303292,44.2474,-30.6786,0
Mon Mar 3 12:16:25 2025,2,18.33858221,-64.98307137,40.5367,-36.1178,0
Mon Mar 3 12:16:26 2025,2,18.33860293,-64.98306217,41.5083,-33.8123,12
Mon Mar 3 12:16:29 2025,2,18.33858329,-64.98307100,40.9283,-36.3697,0
Mon Mar 3 12:16:30 2025,2,18.33864212,-64.98303278,45.495,-30.5624,0
Mon Mar 3 12:16:32 2025,2,18.33864647,-64.98302130,46.7074,-30.0777,0
Mon Mar 3 12:16:37 2025,2,18.33845032,-64.98327003,20.6012,-52.2849,0
Mon Mar 3 12:16:38 2025,2,18.33874209,-64.98296863,52.6259,-20.5473,0
Mon Mar 3 12:16:39 2025,2,18.33865241,-64.98301912,47.2901,-30.7153,0
Mon Mar 3 12:16:40 2025,2,18.33859342,-64.98307699,41.5279,-37.2827,5
Mon Mar 3 12:16:41 2025,2,18.33856331,-64.98310545,38.6965,-40.6342,0
Mon Mar 3 12:16:42 2025,2,18.33867805,-64.98301015,48.7665,-27.861,0
Mon Mar 3 12:16:48 2025,2,18.33871915,-64.98298760,51.3254,-23.4713,0
Mon Mar 3 12:16:49 2025,2,18.33855660,-64.98311970,38.0715,-41.7522,0
Mon Mar 3 12:16:52 2025,2,18.33875168,-64.98298032,52.9754,-20.0356,0
Mon Mar 3 12:16:54 2025,2,18.33862613,-64.98306709,44.6873,-34.1979,0
Mon Mar 3 12:16:55 2025,2,18.33858365,-64.98311391,39.9162,-39.1122,0
Mon Mar 3 12:16:57 2025,2,18.33852003,-64.98319205,31.8354,-46.3799,0
Mon Mar 3 12:16:58 2025,2,18.33863789,-64.98306974,45.1111,-33.6312,0
