timestamp_ros,timestamp_sys (%Y%m%d%H%M%S.%f),latitude,longitude,depth,distance_to_ocean_floor,velX,velY,velZ,roll,pitch,yaw,navMode,acousticAltimeter,forwardStereo,battery_volts,altitudeUsed,cotsNumFound,cotsNumMaybe,missionState,errorState,storeData,storeImageData
1767801806.7864087,20260107120326.786369,18.340587666666668,-64.97716333333332,0.05162414717966407,0.4099793192417151,0.0,0.10031580000000001,0.04388550012778271,6.722413749924289,-4.704105362002546,28.062209192378337,1,2.42,3.8832247257232666,16.7,2.42,0,0,1,0,1,0
1767801806.884965,20260107120326.884926,18.340587666666668,-64.97716333333332,0.09062414717966377,0.4099793192417151,0.0,0.10031580000000001,0.028361975466785358,6.722413749924289,-4.704105362002546,28.062209192378337,1,2.42,3.8832247257232666,16.7,2.42,0,0,1,0,1,0
1767801806.9945872,20260107120326.994548,18.340587666666668,-64.97716333333332,0.08149734447513027,0.4099793192417151,0.0,0.10031580000000001,0.05217151372474922,7.524410580164183,-4.702869524207705,27.940631781680388,1,2.42,3.8832247257232666,16.7,2.42,0,0,1,0,1,0
1767801807.059366,20260107120327.059327,18.340587666666668,-64.97716333333332,0.08149734447513027,0.4099793192417151,0.0,0.10031580000000001,0.05217151372474922,8.51932361117004,-4.54990524861663,27.91161712771157,1,2.42,3.8832247257232666,16.7,2.42,0,0,1,0,1,0
1767801807.18384,20260107120327.183801,18.340587666666668,-64.97716333333332,0.08149734447513027,0.4099793192417151,0.0,0.10031580000000001,0.05217151372474922,9.326991207996,-3.163487982275332,28.05822377557256,1,2.42,3.8832247257232666,16.7,2.42,0,0,1,0,1,0
1767801807.26787,20260107120327.267831,18.340587666666668,-64.9771625,0.07130642605452756,0.4099793192417151,0.0,0.13169664,0.04089233046366848,9.326991207996,-3.163487982275332,28.05822377557256,1,2.42,3.8832247257232666,16.7,2.42,0,0,1,0,1,0
1767801807.3603854,20260107120327.360346,18.340587666666668,-64.9771625,0.07130642605452756,0.4099793192417151,0.0,0.13169664,0.04089233046366848,9.372493944516764,-2.365922452287371,28.009039565772806,1,2.43,3.8832247257232666,16.56,2.43,0,0,1,0,1,0
1767801807.459713,20260107120327.459674,18.340587666666668,-64.9771625,0.06908683732455138,0.4099793192417151,0.0,0.13169664,0.015463494256767688,9.416015071696032,-1.9701326986022254,27.877059773249442,1,2.43,3.8832247257232666,16.56,2.43,0,0,1,0,1,0
1767801807.563979,20260107120327.563940,18.340587666666668,-64.9771625,0.06908683732455138,0.4099793192417151,0.0,0.13169664,0.015463494256767688,9.259795782914743,-2.474928895322974,27.83426862279872,1,2.43,3.8832247257232666,16.56,2.43,0,0,1,0,1,0
1767801807.6838903,20260107120327.683851,18.340587833333334,-64.97716166666667,0.05332970567232331,0.4099793192417151,0.1868358510562275,0.0520249300773157,-0.0034839652651426135,9.259795782914743,-2.474928895322974,27.83426862279872,1,2.43,3.8832247257232666,16.56,2.43,0,0,1,0,1,0
1767801807.7668269,20260107120327.766787,18.340587833333334,-64.97716166666667,0.05332970567232331,0.4099793192417151,0.1868358510562275,0.0520249300773157,-0.0034839652651426135,9.28847917259036,-3.0290096202827925,27.98869584005575,1,2.45,3.8832247257232666,16.56,2.45,0,0,1,0,1,0
1767801807.905003,20260107120327.904964,18.340587833333334,-64.97716166666667,0.06970190290368655,0.4099793192417151,0.1868358510562275,0.0520249300773157,-0.022684725017057504,9.702755053317533,-3.4209055244184974,28.21009308607081,1,2.45,3.8832247257232666,16.56,2.45,0,0,1,0,1,0
1767801807.9625733,20260107120327.962534,18.340587833333334,-64.97716166666667,0.06970190290368655,0.4099793192417151,0.1868358510562275,0.0520249300773157,-0.022684725017057504,10.25695765450894,-3.5234015141867063,28.34300861484506,1,2.44,3.8832247257232666,16.45,2.44,0,0,1,0,1,0
1767801808.060559,20260107120328.060520,18.340587833333334,-64.97716166666667,0.045386400195462674,0.4099793192417151,0.1868358510562275,0.0520249300773157,-0.03907373063182593,9.910771953964222,-3.0610848404243542,28.531088186175626,1,2.44,3.8832247257232666,16.45,2.44,0,0,1,0,1,0
1767801808.1592958,20260107120328.159256,18.340587833333334,-64.97716166666667,0.045386400195462674,0.4099793192417151,0.1868358510562275,0.0520249300773157,-0.03907373063182593,9.910771953964222,-3.0610848404243542,28.531088186175626,1,2.45,3.8832247257232666,16.45,2.45,0,0,1,0,1,0
1767801808.2596712,20260107120328.259632,18.340588500000003,-64.97716066666666,0.05587037486995005,0.4099793192417151,0.2091876167300083,0.16005174462022448,-0.016848360580545552,9.061581914779529,-2.913838715873653,28.512216366751,1,2.45,3.8832247257232666,16.45,2.45,0,0,1,0,1,0
1767801808.3607912,20260107120328.360752,18.340588500000003,-64.97716066666666,0.05587037486995005,0.4099793192417151,0.2091876167300083,0.16005174462022448,-0.016848360580545552,8.253725633910287,-3.02063815324455,28.26608016671637,1,2.42,3.8832247257232666,16.45,2.42,0,0,1,0,1,0
1767801808.4675558,20260107120328.467516,18.340588500000003,-64.97716066666666,0.060726269799258305,0.4099793192417151,0.2091876167300083,0.16005174462022448,0.005774704855925494,6.70132425266056,-4.107269131654497,27.223017699940012,1,2.42,3.8832247257232666,16.45,2.42,0,0,1,0,1,0
1767801808.563463,20260107120328.563424,18.340588500000003,-64.97716066666666,0.060726269799258305,0.4099793192417151,0.2091876167300083,0.16005174462022448,0.005774704855925494,6.70132425266056,-4.107269131654497,27.223017699940012,1,2.43,3.8832247257232666,16.48,2.43,0,0,1,0,1,0
