timestamp_ros,timestamp_sys (%Y%m%d%H%M%S.%f),latitude,longitude,depth,distance_to_ocean_floor,velX,velY,velZ,roll,pitch,yaw,navMode,acousticAltimeter,forwardStereo,battery_volts,altitudeUsed,cotsNumFound,cotsNumMaybe,missionState,errorState,storeData,storeImageData
1767988284.3421955,20260109155124.342161,18.188972999999997,-64.9587195,-0.2654698603691882,0.7303162810193973,0.4944167689157496,-0.5307539623055775,-0.17896017954227647,2.823324589741225,27.687972917979973,113.7167104930631,1,-1.0,1.013545274734497,15.42,0.7303162810193973,0,0,1,0,1,0
1767988284.440395,20260109155124.440361,18.188972999999997,-64.9587195,-0.21932991825111642,0.7303162810193973,0.4944167689157496,-0.5307539623055775,-0.10371002114549743,6.11958146511465,23.94959731265903,112.33611020209707,1,-1.0,0.8318837881088257,15.42,0.7303162810193973,0,0,1,0,1,0
1767988284.5512173,20260109155124.551183,18.188969166666666,-64.958718,-0.21932991825111642,0.7303162810193973,0.4603651978971811,-0.702708449250868,-0.10371002114549743,6.11958146511465,23.94959731265903,112.33611020209707,1,-1.0,0.9059902429580688,15.42,0.7303162810193973,0,0,1,0,1,0
1767988284.6467662,20260109155124.646732,18.188969166666666,-64.958718,-0.20911222915302252,0.7303162810193973,0.4603651978971811,-0.702708449250868,-0.062079043434417815,7.044335194766518,20.29697817812562,113.82106216051497,1,-1.0,0.8404191732406616,15.39,0.7303162810193973,0,0,1,0,1,0
1767988284.7538624,20260109155124.753828,18.188969166666666,-64.958718,-0.20911222915302252,0.7303162810193973,0.4603651978971811,-0.702708449250868,-0.062079043434417815,7.044335194766518,20.29697817812562,113.82106216051497,1,-1.0,0.8404191732406616,15.39,0.7303162810193973,0,0,1,0,1,0
1767988284.8383777,20260109155124.838343,18.188969166666666,-64.958718,-0.18482960084619426,0.7303162810193973,0.4603651978971811,-0.702708449250868,0.024528098162812102,0.7308950691651513,10.967678365364677,115.97534557616629,1,0.12,0.9501643776893616,15.39,0.12,0,0,1,0,1,0
1767988284.9397564,20260109155124.939722,18.188966333333333,-64.95871666666667,-0.18482960084619426,0.7303162810193973,0.3546048044636972,-0.5475067710829423,0.024528098162812102,0.7308950691651513,10.967678365364677,115.97534557616629,1,0.12,0.9501643776893616,15.39,0.12,0,0,1,0,1,0
1767988285.0550926,20260109155125.055058,18.188966333333333,-64.95871666666667,-0.10265241328210725,0.7303162810193973,0.3546048044636972,-0.5475067710829423,0.17910602674161338,-0.6769843667697191,6.012060161867743,116.65402073552526,1,-1.0,0.7337908148765564,15.39,0.7303162810193973,0,0,1,0,1,0
1767988285.1433911,20260109155125.143357,18.188966333333333,-64.95871666666667,-0.10265241328210725,0.7303162810193973,0.3546048044636972,-0.5475067710829423,0.17910602674161338,1.5663151218943272,3.0250007246933928,117.25597918269553,1,-1.0,0.6467326283454895,15.39,0.7303162810193973,0,0,1,0,1,0
1767988285.2371616,20260109155125.237127,18.188966333333333,-64.95871666666667,-0.06406219036570504,0.7303162810193973,0.3546048044636972,-0.5475067710829423,0.2657638670656932,4.666863742236791,2.233748212746537,117.76689117567457,1,-1.0,0.6467326283454895,15.42,0.7303162810193973,0,0,1,0,1,0
1767988285.361674,20260109155125.361640,18.188966333333333,-64.95871666666667,-0.06406219036570504,0.7303162810193973,0.3546048044636972,-0.5475067710829423,0.2657638670656932,6.781666942821441,2.462650558682536,118.28099969832815,1,-1.0,0.5851683616638184,15.42,0.7303162810193973,0,0,1,0,1,0
1767988285.4435847,20260109155125.443550,18.188966333333333,-64.95871666666667,-0.015712730825160247,0.7303162810193973,0.3546048044636972,-0.5475067710829423,0.28380065525777276,5.860902898845075,1.668365228216355,118.31676258160986,1,-1.0,0.5851683616638184,15.42,0.7303162810193973,0,0,1,0,1,0
1767988285.5518117,20260109155125.551777,18.188964166666665,-64.95871516666666,-0.015712730825160247,0.7303162810193973,0.3319805897366872,-0.42675508293300374,0.28380065525777276,1.9855507889494275,-1.1694998789716462,116.49062889177719,1,-1.0,0.8648138642311096,15.42,0.7303162810193973,0,0,1,0,1,0
1767988285.6366036,20260109155125.636569,18.188964166666665,-64.95871516666666,0.028184794563208132,0.7303162810193973,0.3319805897366872,-0.42675508293300374,0.3067862918940424,1.9855507889494275,-1.1694998789716462,116.49062889177719,1,-1.0,0.373434841632843,15.42,0.7303162810193973,0,0,1,0,1,0
1767988285.7538266,20260109155125.753792,18.188964166666665,-64.95871516666666,0.028184794563208132,0.7303162810193973,0.3319805897366872,-0.42675508293300374,0.3067862918940424,0.6623861662203419,-2.471513799516851,114.98147073428548,1,-1.0,0.5849446654319763,15.42,0.7303162810193973,0,0,1,0,1,0
1767988285.836604,20260109155125.836570,18.188964166666665,-64.95871516666666,0.08313982190658536,0.7303162810193973,0.3319805897366872,-0.42675508293300374,0.3447301698828233,-0.5677008740868446,-3.329430475703621,113.49395062382139,1,-1.0,0.5849446654319763,15.31,0.7303162810193973,0,0,1,0,1,0
1767988285.9373136,20260109155125.937279,18.188963333333334,-64.95871433333333,0.08313982190658536,0.7303162810193973,0.18530995531698066,-0.2299033582340463,0.3447301698828233,-2.466426373983178,-3.20421043844148,110.10369360687697,1,-1.0,0.4091413915157318,15.31,0.7303162810193973,0,0,1,0,1,0
1767988286.0491471,20260109155126.049113,18.188963333333334,-64.95871433333333,0.0981786156577401,0.7303162810193973,0.18530995531698066,-0.2299033582340463,0.20045353738009566,-2.466426373983178,-3.20421043844148,110.10369360687697,1,-1.0,0.43787533044815063,15.31,0.7303162810193973,0,0,1,0,1,0
1767988286.138241,20260109155126.138207,18.188963333333334,-64.95871433333333,0.0981786156577401,0.7303162810193973,0.18530995531698066,-0.2299033582340463,0.20045353738009566,-2.9953696459315755,-2.1433775206379537,108.09836300990547,1,-1.0,0.43787533044815063,15.31,0.7303162810193973,0,0,1,0,1,0
1767988286.2473018,20260109155126.247268,18.188963333333334,-64.95871433333333,0.14528329409829346,0.7303162810193973,0.18530995531698066,-0.2299033582340463,0.20909164060897342,-4.158305177155141,0.7396440643725979,104.11823277246917,1,-1.0,0.7044771909713745,15.31,0.7303162810193973,0,0,1,0,1,0
1767988286.3559232,20260109155126.355889,18.188963333333334,-64.95871433333333,0.14528329409829346,0.7303162810193973,0.18530995531698066,-0.2299033582340463,0.20909164060897342,-4.158305177155141,0.7396440643725979,104.11823277246917,1,-1.0,0.6385337710380554,15.31,0.7303162810193973,0,0,1,0,1,0
1767988286.4742332,20260109155126.474199,18.188961666666668,-64.958713,0.12675498781443462,0.7303162810193973,0.26600375750330324,-0.44393222917897446,0.12464731677928516,-4.615858432598418,1.4245570563040744,102.34486914303268,1,-1.0,0.8360812664031982,15.31,0.7303162810193973,0,0,1,0,1,0
1767988286.5935733,20260109155126.593539,18.188961666666668,-64.958713,0.13975498781443452,0.7303162810193973,0.26600375750330324,-0.44393222917897446,0.1232125368566959,-4.503034766225523,1.001397444167739,100.60289707424606,1,-1.0,0.8077514171600342,15.31,0.7303162810193973,0,0,1,0,1,0
1767988286.63847,20260109155126.638436,18.188961666666668,-64.958713,0.13975498781443452,0.7303162810193973,0.26600375750330324,-0.44393222917897446,0.1232125368566959,-3.729142466922109,-0.43180847566751185,98.67226145274606,1,-1.0,0.8077514171600342,15.31,0.7303162810193973,0,0,1,0,1,0
1767988286.7505126,20260109155126.750478,18.188961666666668,-64.958713,0.13975498781443452,0.7303162810193973,0.26600375750330324,-0.44393222917897446,0.1232125368566959,-1.3336507277626601,-3.8997004623323615,94.0490481844422,1,-1.0,0.7740815281867981,15.31,0.7303162810193973,0,0,1,0,1,0
